iso2,size,timestamp
IN_JK,12541302,1
IN_HP,6864602,1
IN_PB,27743338,1
IN_CH,1055450,1
IN_UT,10086292,1
IN_HR,25351462,1
IN_DL,16787941,1
IN_RJ,68548437,1
IN_UP,199812341,1
IN_BR,104099452,1
IN_SK,610577,1
IN_AR,1383727,1
IN_NL,1978502,1
IN_MN,2855794,1
IN_MZ,1097206,1
IN_TR,3673917,1
IN_ML,2966889,1
IN_AS,31205576,1
IN_WB,91276115,1
IN_JH,32988134,1
IN_OR,41974218,1
IN_CT,25545198,1
IN_MP,72626809,1
IN_GJ,60439692,1
IN_DD,243247,1
IN_DN,343709,1
IN_MH,112374333,1
IN_AP,84580777,1
IN_KA,61095297,1
IN_GA,1458545,1
IN_LD,64473,1
IN_KL,33406061,1
IN_TN,72147030,1
IN_PY,1247953,1
IN_AN,380581,1
IN_TG,84580777,1
IN_JK,12541302,2
IN_HP,6864602,2
IN_PB,27743338,2
IN_CH,1055450,2
IN_UT,10086292,2
IN_HR,25351462,2
IN_DL,16787941,2
IN_RJ,68548437,2
IN_UP,199812341,2
IN_BR,104099452,2
IN_SK,610577,2
IN_AR,1383727,2
IN_NL,1978502,2
IN_MN,2855794,2
IN_MZ,1097206,2
IN_TR,3673917,2
IN_ML,2966889,2
IN_AS,31205576,2
IN_WB,91276115,2
IN_JH,32988134,2
IN_OR,41974218,2
IN_CT,25545198,2
IN_MP,72626809,2
IN_GJ,60439692,2
IN_DD,243247,2
IN_DN,343709,2
IN_MH,112374333,2
IN_AP,84580777,2
IN_KA,61095297,2
IN_GA,1458545,2
IN_LD,64473,2
IN_KL,33406061,2
IN_TN,72147030,2
IN_PY,1247953,2
IN_AN,380581,2
IN_TG,84580777,2